"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","257.10","262.80","253.10","258.70","258.40","2450.84005289","2027"
"2","1596931200","258.90","261.80","248.20","254.90","255.43","2431.16871763","1770"
"3","1597017600","255.00","262.10","244.00","257.70","256.66","4515.43469478","2824"
"4","1597104000","257.80","260.50","230.20","240.50","244.52","10132.11772022","4234"
"5","1597190400","240.30","246.80","231.30","241.90","240.74","4380.35766285","2276"
"6","1597276800","241.50","251.60","232.40","250.60","242.41","4636.89918929","2731"
"7","1597363200","250.50","252.30","243.70","248.40","248.58","4721.54999602","2288"
"8","1597449600","248.60","260.60","246.50","255.30","254.44","5503.09881346","3049"
"9","1597536000","255.50","265.00","247.00","260.50","257.03","6158.16161565","3234"
"10","1597622400","260.50","274.00","254.70","267.90","265.69","9444.74280472","3964"
"11","1597708800","267.80","272.70","252.60","254.30","259.94","8081.49854856","3632"
"12","1597795200","254.50","259.10","238.30","247.40","246.56","9260.77830743","3917"
"13","1597881600","247.60","250.40","244.50","248.70","247.70","1460.45107831","1581"
"14","1597968000","248.80","258.70","239.50","240.10","247.37","5457.09559107","3345"
"15","1598054400","240.30","244.30","235.00","243.60","239.68","2621.24223380","1439"
"16","1598140800","243.40","244.40","237.30","241.80","241.20","1873.03671100","1554"
"17","1598227200","241.70","250.20","239.80","247.10","244.17","4962.94984435","1908"
"18","1598313600","246.90","247.30","228.70","233.60","234.90","7245.35261892","3739"
"19","1598400000","233.50","236.10","230.40","232.40","233.32","3038.04784311","1935"
"20","1598486400","232.30","233.80","219.30","224.10","227.47","4870.74881151","3206"
"21","1598572800","224.40","229.00","221.80","225.90","226.44","3926.14904419","2425"
"22","1598659200","225.90","229.70","224.20","226.20","227.30","1599.19395041","1484"
"23","1598745600","225.90","234.40","225.70","234.40","230.63","2329.69477763","1817"
"24","1598832000","234.40","236.00","229.10","229.80","232.28","1782.45553634","2017"
"25","1598918400","229.80","248.80","225.70","244.80","237.13","6350.70268200","4052"
"26","1599004800","244.80","247.70","210.00","223.10","225.78","12204.59893310","5425"
"27","1599091200","223.50","225.60","172.00","181.30","203.63","11925.51744602","6951"
"28","1599177600","181.90","203.60","179.90","195.00","191.58","10938.14828466","7277"
"29","1599264000","194.80","198.50","182.00","190.60","189.20","8415.38144199","6021"
"30","1599350400","190.80","197.30","185.50","192.70","193.24","3331.39019076","3223"
"31","1599436800","192.60","194.50","183.00","193.60","189.71","3482.50325080","3454"
"32","1599523200","193.70","195.50","184.00","189.10","189.08","2926.04037027","2987"
"33","1599609600","189.20","193.70","186.10","190.30","190.84","3410.94051831","2127"
"34","1599696000","190.00","195.70","189.50","192.60","192.02","2267.61955355","2000"
"35","1599782400","192.50","193.40","187.10","190.80","189.29","1713.19610232","1909"
"36","1599868800","190.80","194.50","188.60","194.50","192.50","2066.13848211","1566"
"37","1599955200","194.50","198.20","186.00","187.80","190.12","4829.39532081","2181"
"38","1600041600","187.80","193.00","185.50","190.50","189.71","4949.00225169","1884"
"39","1600128000","190.50","203.90","190.00","198.70","199.98","5164.47546948","2683"
"40","1600214400","198.80","199.00","191.80","195.70","196.23","3907.20716972","2033"
"41","1600300800","195.80","203.10","195.00","196.90","199.05","2796.70152883","2326"
"42","1600387200","196.90","201.60","194.70","198.00","197.80","1710.04214593","1984"
"43","1600473600","197.90","200.90","195.90","197.20","198.08","1303.98425117","1823"
"44","1600560000","197.10","197.10","188.30","191.00","191.50","2088.65244902","1937"
"45","1600646400","191.30","193.20","177.60","181.00","183.78","3474.53108920","3479"
"46","1600732800","180.90","188.20","179.20","188.20","183.16","1630.98290795","2075"
"47","1600819200","188.20","188.20","174.40","178.30","181.12","2523.13991979","2381"
"48","1600905600","178.60","187.70","177.40","185.10","183.59","2282.12821952","1916"
"49","1600992000","185.10","187.60","181.50","185.90","184.43","1919.92724378","1855"
"50","1601078400","185.90","185.90","185.90","185.90","0.00","0.00000000","0"
"51","1601164800","185.90","185.90","185.90","185.90","0.00","0.00000000","0"
"52","1601251200","185.90","185.90","185.90","185.90","0.00","0.00000000","0"
"53","1601337600","185.90","185.90","185.90","185.90","0.00","0.00000000","0"
"54","1601424000","195.00","196.90","192.30","194.40","194.14","1093.83405159","1552"
"55","1601510400","194.60","199.50","189.40","194.50","193.56","2376.99890835","2562"
"56","1601596800","194.20","194.80","181.60","187.60","186.37","2346.92865430","2568"
"57","1601683200","187.70","189.60","186.20","186.80","187.74","841.07161349","1040"
"58","1601769600","187.00","190.30","185.30","188.60","187.99","699.07281812","1200"
"59","1601856000","188.50","189.90","186.20","187.80","187.10","1260.12631552","1228"
