"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","57.20","58.49","56.52","58.44","57.81","23162.05374270","1848"
"2","1596931200","58.45","58.75","56.10","57.01","57.39","15542.77433732","1579"
"3","1597017600","57.09","59.41","56.61","58.31","58.12","24269.68643131","2028"
"4","1597104000","58.38","59.73","52.50","54.11","56.10","43676.92741419","4207"
"5","1597190400","54.11","55.09","51.65","54.50","54.23","28202.54815032","3515"
"6","1597276800","54.56","57.36","51.98","57.25","54.86","36732.37048081","3511"
"7","1597363200","57.27","57.94","55.90","56.85","56.83","52391.54499729","2772"
"8","1597449600","56.91","60.88","56.54","59.91","58.50","62045.36307060","3852"
"9","1597536000","60.03","64.65","58.12","63.93","61.63","52119.73836657","4120"
"10","1597622400","63.98","68.95","61.34","67.35","65.16","123983.06813487","6880"
"11","1597708800","67.32","68.42","63.52","65.47","66.51","131382.25769382","5630"
"12","1597795200","65.79","67.14","58.90","62.09","62.28","145228.71798716","6992"
"13","1597881600","62.24","63.76","61.04","62.86","62.58","46609.57942439","2532"
"14","1597968000","62.86","63.91","58.85","59.13","61.14","52885.11996981","3414"
"15","1598054400","59.05","60.51","57.78","60.26","59.27","37218.98757337","2294"
"16","1598140800","60.25","61.63","58.10","60.59","59.63","26267.98103859","1709"
"17","1598227200","60.69","62.98","60.00","62.10","61.78","29347.46185423","1802"
"18","1598313600","62.28","62.29","56.70","58.33","59.11","60109.15373322","3724"
"19","1598400000","58.34","59.20","57.00","58.10","58.22","28107.51107274","2397"
"20","1598486400","58.15","59.27","53.70","56.15","56.48","39585.23785634","3118"
"21","1598572800","56.15","58.23","55.41","57.41","57.07","29539.52911718","2121"
"22","1598659200","57.44","58.26","56.99","56.99","57.58","20177.54716526","1415"
"23","1598745600","57.05","62.91","57.00","62.91","60.34","36471.18207642","2805"
"24","1598832000","62.88","63.65","60.57","60.97","61.82","25968.86120029","2314"
"25","1598918400","61.05","64.36","59.56","62.74","62.70","47873.77353808","3560"
"26","1599004800","62.73","63.11","56.67","58.10","59.01","55292.51567062","4570"
"27","1599091200","58.09","58.63","45.53","47.50","53.28","92382.22916380","6310"
"28","1599177600","47.49","52.48","46.37","50.38","49.37","63119.25609978","5708"
"29","1599264000","50.41","51.29","45.40","47.77","48.02","64940.02408314","4221"
"30","1599350400","47.56","49.10","46.32","47.92","48.03","26643.03728991","1757"
"31","1599436800","47.91","49.11","45.20","48.82","47.30","27031.78349985","1772"
"32","1599523200","48.90","49.31","46.05","47.48","47.50","26635.36902033","2343"
"33","1599609600","47.39","48.86","46.59","47.86","47.82","17964.19201952","1319"
"34","1599696000","47.88","49.44","47.88","48.70","48.73","23786.16907423","1994"
