"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","379.62","397.40","376.04","397.40","387.18","46663.63120430","10192"
"2","1596931200","397.39","400.35","381.06","390.33","391.66","44561.72836084","10487"
"3","1597017600","390.32","400.00","384.97","395.90","394.47","53652.14367132","11781"
"4","1597104000","395.91","398.38","367.00","378.97","384.06","109239.48571141","18375"
"5","1597190400","378.96","389.47","364.25","387.15","381.47","62909.79898386","12583"
"6","1597276800","387.17","432.22","376.78","424.87","401.89","154367.66375891","27722"
"7","1597363200","425.57","445.08","418.10","438.68","430.85","92451.03815641","19561"
"8","1597449600","438.73","443.54","427.00","432.39","435.02","46133.47654597","11009"
"9","1597536000","432.52","437.49","412.48","433.67","424.35","64246.01812903","13973"
"10","1597622400","433.99","447.44","420.51","431.35","432.78","70593.77772776","16912"
"11","1597708800","431.34","434.20","412.11","422.62","424.50","77628.45601165","16572"
"12","1597795200","422.61","426.50","393.33","407.57","408.41","91227.61399911","18939"
"13","1597881600","407.57","419.54","402.48","416.20","412.19","58454.61391948","10688"
"14","1597968000","416.30","419.08","385.00","387.83","401.17","85385.53125803","18876"
"15","1598054400","387.84","396.90","378.98","395.52","387.45","57008.74326452","13040"
"16","1598140800","395.50","397.09","383.73","390.64","392.09","28001.41469343","6785"
"17","1598227200","390.77","410.98","387.61","407.92","402.29","66322.98635652","15168"
"18","1598313600","407.92","409.15","370.05","383.01","384.78","112721.29479894","20156"
"19","1598400000","382.98","393.56","377.18","385.71","386.34","72131.19472743","13698"
"20","1598486400","385.91","396.85","371.60","383.16","384.01","61708.64859145","11745"
"21","1598572800","383.16","398.32","380.01","395.56","392.07","45660.17868569","10211"
"22","1598659200","395.35","405.87","392.30","398.69","399.82","46298.21519638","11247"
"23","1598745600","398.39","429.50","398.39","428.72","416.52","62024.75826499","11344"
"24","1598832000","429.14","439.00","417.77","433.98","430.69","61101.49408447","15234"
"25","1598918400","434.00","489.57","428.68","475.81","467.47","133872.90707915","27090"
"26","1599004800","475.76","481.00","422.00","439.81","446.89","171821.39983916","28885"
"27","1599091200","440.47","450.00","371.21","382.43","408.89","227343.47213929","35367"
"28","1599177600","382.22","400.79","360.90","385.82","384.34","139522.49112394","24476"
"29","1599264000","385.61","394.80","311.04","335.38","347.89","279027.02859385","41255"
"30","1599350400","334.88","359.90","316.60","352.51","341.67","123832.60688844","22938"
"31","1599436800","352.50","358.50","323.40","353.39","342.42","91139.52678844","20323"
"32","1599523200","353.40","356.41","325.64","337.25","338.14","92707.97233698","19205"
"33","1599609600","337.24","359.00","330.77","351.29","347.91","67152.72320001","13705"
"34","1599696000","351.08","377.77","350.80","368.23","367.58","100388.15458008","20631"
"35","1599782400","367.98","375.29","355.64","373.88","366.23","59017.27832861","12556"
"36","1599868800","374.08","388.00","365.31","387.91","376.46","48281.88966854","10050"
"37","1599955200","387.94","390.00","353.50","366.41","369.92","87789.55125136","14501"
"38","1600041600","366.51","384.15","356.15","377.14","370.80","75629.61692299","15234"
"39","1600128000","377.07","382.48","362.50","364.09","372.49","73932.66809598","14684"
"40","1600214400","363.90","373.78","355.11","364.99","364.02","70775.94182297","13151"
"41","1600300800","365.00","394.68","363.29","389.39","382.01","83100.62068667","16918"
"42","1600387200","389.27","392.39","375.66","384.45","382.59","45931.78885663","11344"
"43","1600473600","384.50","388.41","377.31","385.11","382.78","20264.53781510","5868"
"44","1600560000","384.92","385.00","365.12","371.00","372.29","40537.18418934","8659"
