"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","9865.1","10010.0","9807.7","9983.4","9940.7","2099.52504870","26889"
"2","1596931200","9982.4","10005.0","9690.0","9928.2","9866.0","2654.47327141","23808"
"3","1597017600","9928.4","10245.0","9848.0","10134.4","10112.6","8139.38089495","49014"
"4","1597104000","10134.4","10177.0","9500.0","9716.5","9840.6","7907.17703134","50291"
"5","1597190400","9718.7","9869.9","9539.7","9827.0","9776.1","4856.68582080","36283"
"6","1597276800","9826.9","9974.9","9523.9","9969.9","9746.0","6463.66204929","40793"
"7","1597363200","9969.9","10039.9","9878.2","9962.7","9951.5","4796.96833804","38110"
"8","1597449600","9962.7","10132.0","9915.0","10023.5","10046.5","3012.57296849","30251"
"9","1597536000","10023.4","10079.9","9902.0","10061.9","10009.2","1952.20959241","26982"
"10","1597622400","10061.9","10500.0","9950.0","10363.8","10230.5","9088.72099129","50663"
"11","1597708800","10363.7","10425.0","9963.0","10030.9","10181.9","7694.36083953","45966"
"12","1597795200","10030.8","10075.2","9756.0","9937.5","9905.6","6744.76363445","41998"
"13","1597881600","9937.5","10047.0","9892.1","10008.0","9977.5","3697.25457839","30399"
"14","1597968000","10008.1","10034.0","9778.0","9793.9","9952.1","4959.37024900","39561"
"15","1598054400","9794.7","9926.2","9690.3","9910.7","9816.7","2528.76921178","26893"
"16","1598140800","9910.6","9943.0","9800.1","9894.3","9870.4","1538.51871679","19198"
"17","1598227200","9894.2","9999.9","9850.0","9984.8","9965.3","3411.72111553","29921"
"18","1598313600","9984.1","9987.7","9431.8","9590.2","9699.0","7299.75627845","47760"
"19","1598400000","9590.1","9767.2","9533.6","9688.0","9663.8","4661.50261339","33124"
"20","1598486400","9692.7","9774.0","9441.2","9598.9","9615.2","5604.87867243","37055"
"21","1598572800","9598.9","9719.9","9569.2","9698.9","9646.5","4459.63858831","32106"
"22","1598659200","9698.8","9747.4","9614.0","9665.4","9693.2","2093.42749369","19980"
"23","1598745600","9665.3","9839.0","9661.3","9831.9","9774.5","2380.02512028","20184"
"24","1598832000","9831.9","9885.8","9750.0","9779.4","9816.9","4235.62774651","31756"
"25","1598918400","9779.0","10100.0","9682.0","10003.9","9957.7","6494.45473252","46013"
"26","1599004800","10003.8","10028.9","9500.0","9639.2","9721.6","8734.30745455","51176"
"27","1599091200","9639.2","9725.0","8500.0","8616.6","9223.1","12111.66412607","71404"
"28","1599177600","8612.2","8989.9","8425.0","8857.1","8786.0","10794.04810194","61012"
"29","1599264000","8857.1","8945.4","8365.4","8596.6","8589.1","6058.24642404","42461"
"30","1599350400","8599.3","8753.7","8461.8","8676.8","8655.0","2294.34227792","23548"
"31","1599436800","8676.7","8829.0","8378.0","8789.9","8572.8","6071.76135523","40138"
"32","1599523200","8789.9","8839.6","8400.0","8618.5","8586.4","7844.30862817","40358"
"33","1599609600","8622.6","8776.0","8485.4","8678.0","8673.9","5217.79449972","32888"
"34","1599696000","8675.2","8830.0","8673.2","8770.4","8748.9","5100.28730524","33802"
"35","1599782400","8765.5","8799.0","8655.0","8795.3","8714.2","4436.78870993","31853"
"36","1599868800","8795.3","8853.1","8705.7","8828.0","8782.0","2206.12157064","20475"
"37","1599955200","8827.9","8938.4","8647.6","8737.5","8781.1","2789.68430683","19853"
