"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","322.63","336.82","320.00","336.82","329.47","32611.86504932","12421"
"2","1596931200","336.87","339.24","326.24","331.52","332.54","32469.15602517","11399"
"3","1597017600","331.77","339.42","328.18","337.20","335.95","47234.28173951","15241"
"4","1597104000","337.20","339.00","313.00","323.19","327.49","72149.35282172","20833"
"5","1597190400","323.23","330.71","312.40","328.90","324.73","45961.45906242","14377"
"6","1597276800","328.96","365.44","319.04","359.53","342.24","92320.70772624","26006"
"7","1597363200","359.51","376.69","353.57","370.90","365.05","85015.61430945","22195"
"8","1597449600","370.89","374.06","354.32","365.43","367.40","46407.70436131","14924"
"9","1597536000","365.66","369.37","348.06","366.06","360.15","45648.29813776","16936"
"10","1597622400","366.20","390.00","355.13","363.22","366.73","69527.83396262","21571"
"11","1597708800","363.21","365.81","348.88","354.14","357.96","54660.80360924","19376"
"12","1597795200","354.13","357.47","333.59","344.65","343.36","77111.04354583","21422"
"13","1597881600","344.90","354.74","341.01","351.14","348.59","31197.35526284","12678"
"14","1597968000","351.13","353.31","327.48","329.76","341.32","57886.26175380","19835"
"15","1598054400","329.73","337.15","323.60","336.15","330.34","36484.13465553","14037"
"16","1598140800","336.15","337.12","325.79","331.98","331.71","21882.64351692","9652"
"17","1598227200","331.81","348.13","328.46","346.11","340.35","43632.13052703","14487"
"18","1598313600","346.03","347.15","313.63","324.38","326.24","70041.16026392","21509"
"19","1598400000","324.38","333.57","320.02","326.06","326.84","44416.32616220","14616"
"20","1598486400","326.03","335.18","315.51","324.73","325.29","45901.87557392","14778"
"21","1598572800","324.76","335.00","322.27","332.71","329.99","31653.24156625","12260"
"22","1598659200","332.70","341.54","330.25","335.68","337.57","24018.32447614","9623"
"23","1598745600","335.78","361.00","335.70","360.10","351.38","40822.08004618","10984"
"24","1598832000","359.88","368.40","352.16","364.36","362.48","48508.26285465","12402"
"25","1598918400","364.21","409.85","360.23","399.36","392.50","118742.51095246","28451"
"26","1599004800","398.81","404.55","356.66","372.30","376.33","135808.10305984","27940"
"27","1599091200","371.88","380.83","315.11","323.49","346.51","156599.95682215","31359"
"28","1599177600","323.60","339.45","305.33","326.76","326.44","120815.83707827","25370"
"29","1599264000","326.51","333.87","262.35","283.35","290.24","172872.86514115","35215"
"30","1599350400","283.57","304.76","268.00","298.55","292.73","75809.91995620","16507"
"31","1599436800","298.71","303.30","273.22","299.15","288.84","89497.79347488","17508"
"32","1599523200","299.64","302.37","277.46","286.89","288.00","70889.52089844","15477"
"33","1599609600","287.09","304.63","281.47","297.99","296.52","55305.58458778","12223"
"34","1599696000","297.99","318.00","297.69","311.84","311.38","67853.11268848","13761"
"35","1599782400","311.91","317.00","301.47","316.53","309.92","34184.22400537","8846"
"36","1599868800","316.25","328.12","309.27","327.99","319.33","36345.35198579","8049"
"37","1599955200","327.78","329.68","299.37","309.88","312.12","52691.05974975","12212"
"38","1600041600","309.88","323.49","301.10","318.04","314.16","42811.16552644","11399"
