"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","302.50","309.50","297.10","304.00","304.49","7221.13390098","1734"
"2","1596931200","305.40","309.20","291.90","299.70","302.15","7458.45927210","1705"
"3","1597017600","300.00","309.60","286.20","302.40","302.99","8296.69923724","2439"
"4","1597104000","302.60","305.90","268.60","281.90","287.03","11519.49583452","3343"
"5","1597190400","281.30","290.30","270.30","285.20","283.23","6099.70683694","2042"
"6","1597276800","284.80","297.80","274.70","296.40","285.92","6847.39974021","2113"
"7","1597363200","296.60","298.20","287.40","293.60","293.53","6706.93331950","1717"
"8","1597449600","294.50","309.10","291.00","302.20","299.88","10007.41210253","2340"
"9","1597536000","302.70","314.00","294.50","308.50","304.91","5986.82830948","1988"
"10","1597622400","308.70","325.40","301.40","317.70","315.77","16649.45905164","3590"
"11","1597708800","317.90","324.60","300.10","303.60","310.34","10192.43016653","2668"
"12","1597795200","304.30","309.20","265.00","292.30","293.23","18172.94550735","3013"
"13","1597881600","293.00","296.20","289.30","295.10","292.56","5014.40769907","1049"
"14","1597968000","294.80","305.20","281.60","282.90","291.77","9058.63001756","2251"
"15","1598054400","282.60","287.70","276.30","287.10","283.35","7807.91889308","1628"
"16","1598140800","286.90","288.10","279.30","285.40","284.04","2355.64486630","738"
"17","1598227200","284.80","294.90","282.10","291.10","289.46","2438.98493566","905"
"18","1598313600","291.40","291.60","270.00","276.30","274.65","11897.16788365","2610"
"19","1598400000","275.00","279.10","271.60","275.50","276.20","3052.54047575","1052"
"20","1598486400","275.00","277.00","258.20","264.30","267.12","4962.92655741","1422"
"21","1598572800","263.80","272.00","261.30","268.80","268.01","2805.38385070","957"
"22","1598659200","268.90","272.80","266.40","268.10","269.62","2699.08797805","834"
"23","1598745600","268.20","278.80","267.90","278.80","274.52","2639.55537162","766"
"24","1598832000","279.50","281.30","273.00","274.50","276.71","2346.07662350","826"
"25","1598918400","274.00","297.00","268.90","292.00","281.67","4917.85298643","1741"
"26","1599004800","295.10","295.10","246.30","264.00","266.19","10307.78011629","3469"
"27","1599091200","264.20","266.50","201.00","214.70","239.82","14408.60807023","5188"
"28","1599177600","215.00","240.00","212.80","230.50","227.10","12581.96901011","4624"
"29","1599264000","230.30","234.50","213.90","225.20","224.69","15031.99272755","3956"
"30","1599350400","225.80","233.00","219.50","227.90","227.44","5288.06952277","1264"
"31","1599436800","227.90","227.90","227.90","227.90","0.00","0.00000000","0"
"32","1599523200","228.70","230.00","215.80","222.10","223.62","12077.19288905","1931"
"33","1599609600","222.10","228.30","218.80","224.00","224.49","3451.97241839","1054"
"34","1599696000","224.20","230.70","224.20","227.20","227.26","4857.75362828","1192"
"35","1599782400","227.60","228.30","220.60","225.40","223.90","1935.82303998","835"
"36","1599868800","225.50","230.50","222.70","230.50","226.31","1612.09085180","601"
"37","1599955200","230.50","234.60","219.50","222.10","225.98","2811.09548670","906"
"38","1600041600","222.30","228.70","219.50","225.70","225.08","4228.62702468","1028"
"39","1600128000","225.80","241.70","225.30","234.60","235.88","7145.50561252","1829"
"40","1600214400","234.70","235.60","226.80","230.90","232.00","6237.14766807","1337"
"41","1600300800","230.50","239.00","229.80","233.40","233.86","4736.81687106","1007"
"42","1600387200","232.90","238.80","230.20","233.90","234.04","3889.58027651","910"
"43","1600473600","233.90","233.90","233.90","233.90","0.00","0.00000000","0"
"44","1600560000","232.90","233.20","222.30","225.80","227.04","4392.07296997","1079"
"45","1600646400","225.90","228.80","207.70","212.80","216.37","4925.82338103","1390"
"46","1600732800","212.50","219.90","210.80","219.90","214.48","3568.73706887","882"
"47","1600819200","220.20","220.20","202.40","207.50","211.86","2741.26732709","843"
"48","1600905600","207.70","219.70","206.50","216.10","212.72","4688.54703360","1034"
"49","1600992000","216.20","217.90","211.00","216.40","214.77","4864.57217099","1131"
"50","1601078400","216.40","216.40","216.40","216.40","0.00","0.00000000","0"
"51","1601164800","216.40","216.40","216.40","216.40","0.00","0.00000000","0"
"52","1601251200","216.40","216.40","216.40","216.40","0.00","0.00000000","0"
"53","1601337600","216.40","216.40","216.40","216.40","0.00","0.00000000","0"
