"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","48.62","49.69","48.04","49.59","49.03","13590.95115866","1684"
"2","1596931200","49.60","49.73","47.74","48.37","48.48","10997.60207954","1459"
"3","1597017600","48.42","50.60","48.21","49.72","49.40","21723.27575532","2680"
"4","1597104000","49.72","50.86","44.74","46.19","47.44","36747.89468444","4372"
"5","1597190400","46.18","46.91","44.10","46.30","46.10","30476.85878460","3095"
"6","1597276800","46.30","48.50","43.93","48.21","46.08","29310.15106327","3415"
"7","1597363200","48.49","48.97","47.39","47.97","48.06","24071.43685838","2708"
"8","1597449600","48.10","51.39","47.93","50.63","50.08","35635.39102837","3553"
"9","1597536000","50.66","54.57","48.49","53.96","52.08","52376.76430148","4767"
"10","1597622400","53.97","58.10","51.96","56.59","54.92","88399.31248065","7090"
"11","1597708800","56.69","57.61","53.33","54.90","55.42","48824.78925889","5291"
"12","1597795200","54.87","56.18","49.74","52.42","52.29","79166.15516973","5896"
"13","1597881600","52.53","53.82","51.67","53.08","52.92","30845.64478778","2301"
"14","1597968000","53.01","53.85","50.02","50.25","51.82","33809.77253258","3434"
"15","1598054400","50.32","51.39","49.23","51.21","50.18","14900.70916335","1562"
"16","1598140800","51.18","52.31","49.40","51.42","50.82","13518.00424571","1611"
"17","1598227200","51.43","53.45","51.01","52.82","52.60","19784.69745845","1737"
"18","1598313600","52.70","52.87","48.03","49.51","49.98","36915.21770588","3418"
"19","1598400000","49.38","50.06","48.46","49.14","49.25","20359.02114494","1854"
"20","1598486400","49.13","49.95","45.86","47.46","48.06","26639.36192369","2756"
"21","1598572800","47.58","49.00","46.97","48.17","48.32","9779.85193047","1466"
"22","1598659200","48.32","48.99","47.99","47.99","48.48","5088.08532298","896"
"23","1598745600","47.99","52.81","47.99","52.75","51.46","22490.03995031","3014"
"24","1598832000","52.81","53.40","50.87","51.20","52.03","21131.90908109","2596"
"25","1598918400","51.14","53.98","50.16","52.61","52.73","32435.87669468","3501"
"26","1599004800","52.60","52.96","48.00","49.17","49.51","44425.34743651","4300"
"27","1599091200","49.04","49.60","38.57","40.13","45.41","55129.47990086","6342"
"28","1599177600","40.15","44.46","39.46","42.78","41.96","47333.68964063","5558"
"29","1599264000","42.64","43.49","38.50","40.39","40.45","28917.51332952","3377"
"30","1599350400","40.45","41.60","39.18","40.63","40.69","13363.21596380","1383"
"31","1599436800","40.52","41.64","38.34","41.37","40.33","30851.00179775","2384"
"32","1599523200","41.38","41.83","39.20","40.36","40.35","29303.88363621","2104"
"33","1599609600","40.41","41.41","39.62","40.59","40.70","7006.66360697","1009"
"34","1599696000","40.62","41.89","40.57","41.09","41.22","7394.45916392","1113"
"35","1599782400","41.30","41.78","40.25","41.47","41.07","7775.73003948","1021"
"36","1599868800","41.45","43.35","41.00","42.98","42.23","12554.76665891","1071"
"37","1599955200","43.03","43.10","40.08","40.69","41.12","15501.88908168","1287"
"38","1600041600","40.74","41.84","39.92","41.40","41.05","17165.17267897","1432"
"39","1600128000","41.42","42.40","40.72","40.72","41.41","15895.23289436","1467"
