"","time","open","high","low","close","vwap","volume","count"
"1","1596844800","0.29471","0.29913","0.29057","0.29568","0.29461","13799459.83293377","4246"
"2","1596931200","0.29545","0.29845","0.28219","0.28794","0.28958","18179513.62785801","4620"
"3","1597017600","0.28806","0.30076","0.28475","0.29474","0.29482","22244782.37316035","6097"
"4","1597104000","0.29474","0.30749","0.26784","0.28292","0.29008","40399350.14294654","10525"
"5","1597190400","0.28292","0.28755","0.27205","0.28233","0.28142","20407156.33570051","5957"
"6","1597276800","0.28235","0.29570","0.27282","0.29507","0.28327","28759126.28380307","7071"
"7","1597363200","0.29491","0.30740","0.29018","0.30032","0.29925","36410167.71418216","8230"
"8","1597449600","0.30056","0.30548","0.29061","0.29891","0.29986","22403158.16631552","5473"
"9","1597536000","0.29891","0.30480","0.29200","0.30467","0.29861","22590331.96328270","4340"
"10","1597622400","0.30480","0.32757","0.29734","0.31550","0.31518","41243327.70553277","10219"
"11","1597708800","0.31548","0.32168","0.29810","0.30292","0.30872","28744855.55460794","7340"
"12","1597795200","0.30292","0.30603","0.27890","0.28992","0.29130","26001837.85269985","7739"
"13","1597881600","0.29003","0.29500","0.28482","0.29246","0.29086","11123938.58886419","3630"
"14","1597968000","0.29245","0.29577","0.27752","0.27921","0.28557","19072592.91070498","5454"
"15","1598054400","0.27917","0.28677","0.27317","0.28615","0.27909","12408053.37021573","3480"
"16","1598140800","0.28614","0.28811","0.27773","0.28493","0.28306","7796220.97630393","2157"
"17","1598227200","0.28476","0.29200","0.28238","0.28870","0.28822","8457105.16421070","2353"
"18","1598313600","0.28870","0.28971","0.27035","0.27653","0.27854","14432030.04724549","4464"
"19","1598400000","0.27634","0.28097","0.27422","0.27649","0.27767","10883954.07585715","2906"
"20","1598486400","0.27658","0.27836","0.25355","0.26450","0.26475","26208231.73420040","6274"
"21","1598572800","0.26493","0.27318","0.26004","0.27178","0.26845","14140821.43554158","3619"
"22","1598659200","0.27181","0.27719","0.26865","0.27399","0.27372","8181959.56955270","2595"
"23","1598745600","0.27400","0.28380","0.27400","0.28300","0.28001","11148031.44438412","3118"
"24","1598832000","0.28300","0.28465","0.27804","0.28132","0.28150","11727817.76625445","2947"
"25","1598918400","0.28140","0.29946","0.27464","0.29539","0.29129","17764398.54255735","5638"
"26","1599004800","0.29529","0.30432","0.26434","0.27600","0.28188","28097338.31822518","8432"
"27","1599091200","0.27587","0.27652","0.23708","0.24456","0.25926","38028398.00369287","9232"
"28","1599177600","0.24471","0.26590","0.24033","0.25406","0.25130","23134299.22602627","6918"
"29","1599264000","0.25405","0.25999","0.23122","0.23724","0.24227","23771968.61088247","6045"
"30","1599350400","0.23716","0.24328","0.22967","0.23988","0.23822","11521140.70818067","2879"
"31","1599436800","0.23963","0.24294","0.23000","0.24207","0.23655","9186489.88218501","2888"
"32","1599523200","0.24258","0.24334","0.23100","0.23671","0.23567","12000611.71361441","3188"
"33","1599609600","0.23656","0.24302","0.23319","0.23918","0.23929","8692816.66303595","2660"
"34","1599696000","0.23903","0.24858","0.23903","0.24337","0.24489","8782561.59744140","2827"
"35","1599782400","0.24321","0.24452","0.23701","0.24276","0.24107","7101947.67257693","2098"
"36","1599868800","0.24290","0.24875","0.24033","0.24751","0.24405","4251707.54787208","1444"
"37","1599955200","0.24799","0.25336","0.23778","0.24207","0.24469","7203557.74317221","2431"
"38","1600041600","0.24207","0.24837","0.23903","0.24565","0.24501","7902946.10289270","2171"
"39","1600128000","0.24569","0.24900","0.24241","0.24344","0.24604","8710952.96543114","2256"
"40","1600214400","0.24284","0.25100","0.23441","0.24688","0.24339","12793532.94293052","2943"
"41","1600300800","0.24710","0.25849","0.24613","0.25222","0.25281","12579000.13080639","3240"
"42","1600387200","0.25205","0.25502","0.24662","0.25081","0.25133","10797865.34689996","2446"
"43","1600473600","0.25072","0.25485","0.24753","0.25115","0.25066","7177426.40670657","2177"
"44","1600560000","0.25098","0.25127","0.24252","0.24650","0.24692","5051123.75211880","1821"
"45","1600646400","0.24651","0.24790","0.22930","0.23075","0.23743","14304721.04986352","3958"
"46","1600732800","0.23115","0.23442","0.22950","0.23313","0.23180","6700747.93242863","2133"
"47","1600819200","0.23296","0.23506","0.22059","0.22126","0.22772","11417672.12528225","3051"
"48","1600905600","0.22139","0.23500","0.21925","0.23297","0.22752","11447093.42954601","3086"
"49","1600992000","0.23298","0.24470","0.22990","0.24168","0.23819","13096295.59686111","2724"
"50","1601078400","0.24168","0.24168","0.24168","0.24168","0.00000","0.00000000","0"
"51","1601164800","0.24168","0.24168","0.24168","0.24168","0.00000","0.00000000","0"
