Date,Open*,High,Low,Close**,Volume,Market Cap,Estimated TWh per Year,Minimum TWh per Year
2021-11-10,66953.34,68789.63,63208.11,64995.23,48730828378,1226431510693,190.4904886,49.35003214
2021-11-09,67549.74,68530.34,66382.06,66971.83,42357991721,1263667113597,189.8764889,49.33648046
2021-11-08,63344.07,67673.74,63344.07,67566.83,41125608330,1274831490851,188.9261284,48.93573812
2021-11-07,61554.92,63326.99,61432.49,63326.99,24726754302,1194778776481,188.3253833,48.80618458
2021-11-06,61068.87,61590.68,60163.78,61527.48,29094934221,1160769349887,187.77345459999998,48.51860587
2021-11-05,61460.08,62541.47,60844.61,61125.67,30605102446,1153128571128,187.2512495,48.08733019
2021-11-04,62941.8,63123.29,60799.66,61452.23,32615846901,1159231375022,186.7304574,47.98194269
2021-11-03,63254.33,63516.94,61184.24,62970.05,36124731509,1187808286560,186.20307140000003,48.03195642
2021-11-02,60963.25,64242.79,60673.06,63226.4,37746665647,1192577136210,185.67045349999998,47.82481995
2021-11-01,61320.45,62419.0,59695.18,61004.41,36150572843,1150606762880,185.1228167,47.63448893
2021-10-31,61850.49,62406.17,60074.33,61318.96,32241199927,1156485845063,184.588728,47.25130688
2021-10-30,62239.36,62330.15,60918.39,61888.83,32157938616,1167178054167,183.7404685,47.04667592
2021-10-29,60624.87,62927.61,60329.97,62227.96,36856881767,1173512442368,183.1952517,46.78330397
2021-10-28,58470.73,62128.63,58206.92,60622.14,45257083247,1143165999365,182.6512351,46.36865703
2021-10-27,60352.0,61435.18,58208.19,58482.39,43657076893,1102757767323,182.1225569,45.89417647
2021-10-26,63032.76,63229.03,59991.16,60363.79,34878965587,1138177770430,181.6165946,45.26831688
2021-10-25,60893.93,63729.33,60691.8,63039.83,31064911614,1188575312422,181.07331069999998,44.90092451
2021-10-24,61368.34,61505.8,59643.35,60930.84,27316183882,1148743134468,180.51724040000002,44.46637607
2021-10-23,60694.63,61743.88,59826.52,61393.62,26882546034,1157410091263,179.987308,44.091492200000005
2021-10-22,62237.89,63715.02,60122.8,60692.26,38434082775,1144131483274,179.458427,43.96201094
2021-10-21,66002.23,66600.55,62117.41,62210.17,45908121370,1172684282558,178.9161919,43.66427293
2021-10-20,64284.59,66930.39,63610.67,65992.84,40788955582,1243927428207,178.04366969999998,43.71185428
2021-10-19,62043.17,64434.53,61622.93,64261.99,40471196346,1211242526571,177.4284824,43.83885605
2021-10-18,61548.8,62614.66,60012.76,62026.08,38055562075,1169039169043,176.827527,43.76680028
2021-10-17,60887.65,61645.52,59164.47,61553.62,29032367511,1160077513368,176.24546740000002,43.3015365
2021-10-16,61609.53,62274.48,60206.12,60892.18,34250964237,1147551202767,175.6723754,42.81612118
2021-10-15,57345.9,62757.13,56868.14,61593.95,51780081801,1160726409230,175.10233259999998,42.78470846
2021-10-14,57372.83,58478.74,56957.08,57321.53,36615791366,1080160001108,174.5529333,43.07038635
2021-10-13,56038.26,57688.66,54370.97,57401.1,41684252783,1081611750762,174.0394493,43.3783804
2021-10-12,57526.83,57627.88,54477.97,56041.06,41083758949,1055926265435,173.536278,43.19286758
2021-10-11,54734.12,57793.04,54519.77,57484.79,42637331698,1083079138639,172.748279,43.51287663
2021-10-10,54952.82,56401.3,54264.26,54771.58,39527792364,1031909532688,172.2751476,44.45603758
2021-10-09,53929.78,55397.94,53735.14,54968.22,32491211414,1035558748272,171.81611189999998,44.76177988
2021-10-08,53802.15,55922.98,53688.06,53967.85,34800873924,1016664484566,171.36284080000001,44.78089643
2021-10-07,55338.62,55338.62,53525.47,53805.99,36807860413,1013573258668,170.89675490000002,44.20102373
2021-10-06,51486.67,55568.46,50488.19,55361.45,49034730168,1042827678808,170.42635190000001,43.39346861
2021-10-05,49174.96,51839.99,49072.84,51514.81,35873904236,970325310417,169.9800431,43.1689483
2021-10-04,48208.91,49456.78,47045.0,49112.9,33383173002,925033195574,169.5835677,42.76008868
2021-10-03,47680.03,49130.69,47157.29,48199.95,26638115879,907791525236,169.214092,42.40896245
2021-10-02,48137.47,48282.06,47465.5,47711.49,30614346492,898547418743,168.4914517,42.21368725
2021-10-01,43816.74,48436.01,43320.02,48116.94,42850641582,906127699408,168.1032003,41.62503158
2021-09-30,41551.27,44092.6,41444.58,43790.9,31141681925,824619217608,167.726296,41.44673683
2021-09-29,41064.98,42545.26,40829.67,41564.36,30602359905,782651228474,167.11158419999998,41.38042505
2021-09-28,42200.9,42775.15,40931.66,41034.54,30214940550,772639687709,166.7619979,41.50207513
2021-09-27,43234.18,44313.25,42190.63,42235.73,30980029059,795216175345,166.7246352,41.58451932
2021-09-26,42721.63,43919.3,40848.46,43208.54,30661222077,813490665613,166.4016235,41.09037719
2021-09-25,42840.89,42996.26,41759.92,42716.59,31604717236,804192450113,166.1025341,40.77895123
2021-09-24,44894.3,45080.49,40936.56,42839.75,42839345714,806470363647,165.70602309999998,41.00335579
2021-09-23,43560.3,44942.17,43109.34,44895.1,34244064430,845122403460,165.0637154,41.34879671
2021-09-22,40677.95,43978.62,40625.63,43574.51,38139709246,820218503579,164.69524980000003,41.67034081
2021-09-21,43012.23,43607.61,39787.61,40693.68,48701090088,765958488767,164.25582859999997,41.45075635
2021-09-20,47261.41,47328.2,42598.92,42843.8,43909845642,806395852718,163.97361919999997,41.03596897
2021-09-19,48268.86,48328.37,46919.8,47260.22,26967722648,889472404520,163.63997030000002,40.83845117
2021-09-18,47273.53,48791.78,47087.28,48278.36,28575630451,908584317849,163.2373824,40.85381367
2021-09-17,47771.0,48160.92,46832.52,47267.52,28727713711,889514744351,162.8255919,40.75011682
2021-09-16,48158.91,48486.83,47079.56,47783.36,31764293754,899179151780,162.4277401,40.82144269
